Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
eProtect/paypage_01,1,495,495,495,0.00,0.000%,2.02020,0.93,2.25,470.0
JSR223 Sampler-FunctionUtils,1,18,18,18,0.00,0.000%,55.55556,0.00,0.00,.0
TEST-01-BUSINESS-DEBUG,1,6,6,6,0.00,0.000%,166.66667,0.00,0.00,.0
PROF-T001-EXC-Random main action,1,8,8,8,0.00,0.000%,125.00000,0.00,0.00,.0
AF-010-GET-Welcome,1,2066,2066,2066,0.00,0.000%,.48403,0.82,0.32,1745.0
AF-020-OPTIONS-maintenance/configuration,1,1818,1818,1818,0.00,0.000%,.55006,0.94,0.37,1752.0
AF-020-GET-maintenance/configuration,1,1943,1943,1943,0.00,0.000%,.51467,0.88,0.43,1745.0
AF-030-OPTIONS-commercial/lead,1,1265,1265,1265,0.00,0.000%,.79051,0.50,0.57,647.0
AF-030-POST-commercial/lead,1,1081,1081,1081,0.00,0.000%,.92507,0.69,1.09,760.0
ST01-010-GET-maintenance/configuration,1,325,325,325,0.00,0.000%,3.07692,1.71,2.38,570.0
ST02-020-POST-commercial/lead,1,331,331,331,0.00,0.000%,3.02115,2.06,2.62,698.0
ST02-010-GET-maintenance/configuration,1,252,252,252,0.00,0.000%,3.96825,2.21,3.07,570.0
ST03-020-POST-commercial/lead,1,1581,1581,1581,0.00,0.000%,.63251,0.44,0.55,707.0
ST03-010-GET-maintenance/configuration,1,261,261,261,0.00,0.000%,3.83142,2.13,2.97,570.0
ST04-020-POST-commercial/lead,1,1002,1002,1002,0.00,0.000%,.99800,0.68,0.94,696.0
ST04-010-GET-maintenance/configuration,1,254,254,254,0.00,0.000%,3.93701,2.19,3.05,570.0
ST05-010-POST-commercial/lead,1,1669,1669,1669,0.00,0.000%,.59916,0.48,0.70,814.0
ST05-020-POST-auth/oauth/token,1,1200,1200,1200,0.00,0.000%,.83333,3.90,0.80,4793.0
ST05-030-GET-maintenance/configuration,3,279,259,313,23.98,0.000%,3.57995,1.99,9.65,570.0
ST05-040-GET-applicants/email,1,616,616,616,0.00,0.000%,1.62338,3.49,4.38,2201.0
ST06-010-PATCH-ssn,1,548,548,548,0.00,0.000%,1.82482,1.33,5.08,746.0
ST06-020-GET-maintenance/configuration,1,256,256,256,0.00,0.000%,3.90625,2.17,10.40,570.0
ST06-030-GET-suffixes,1,341,341,341,0.00,0.000%,2.93255,2.26,7.72,788.0
ST06-040-GET-getPersonalInfo,1,293,293,293,0.00,0.000%,3.41297,6.67,9.39,2001.0
ST07-010-PUT-verifyPersonalInfos,1,377,377,377,0.00,0.000%,2.65252,1.91,7.74,736.0
ST07-020-GET-maintenance/configuration,1,256,256,256,0.00,0.000%,3.90625,2.17,10.40,570.0
ST07-030-GET-core/products,1,359,359,359,0.00,0.000%,2.78552,13.71,7.33,5039.0
ST07-040-POST-selected-offer,1,561,561,561,0.00,0.000%,1.78253,1.15,5.04,663.0
ST07-050-GET-maintenance/configuration,1,258,258,258,0.00,0.000%,3.87597,2.16,10.31,570.0
ST08-010-PUT-businesses,1,366,366,366,0.00,0.000%,2.73224,2.10,7.56,787.0
ST08-020-GET-maintenance/configuration,1,257,257,257,0.00,0.000%,3.89105,2.17,10.35,570.0
ST09-010-GET-industries,1,577,577,577,0.00,0.000%,1.73310,49.85,4.59,29451.0
ST09-020-PUT-businesses,1,343,343,343,0.00,0.000%,2.91545,2.24,8.36,788.0
ST09-030-GET-maintenance/configuration,1,260,260,260,0.00,0.000%,3.84615,2.14,10.24,570.0
ST10-010-PUT-businesses,2,311,309,313,2.00,0.000%,1.31148,1.00,3.61,784.0
ST10-020-GET-maintenance/configuration,2,258,258,259,0.50,0.000%,1.35501,0.75,3.61,570.0
ST10-030-GET-customers/email,1,341,341,341,0.00,0.000%,2.93255,4.15,7.90,1450.0
ST10-040-GET-businesses/applications,1,303,303,303,0.00,0.000%,3.30033,4.13,8.91,1281.0
ST11-030-GET-getPersonalInfo,1,264,264,264,0.00,0.000%,3.78788,7.40,10.42,2001.0
ST12-010-PUT-businesses,1,305,305,305,0.00,0.000%,3.27869,2.48,9.38,774.0
ST12-020-GET-maintenance/configuration,1,250,250,250,0.00,0.000%,4.00000,2.23,10.64,570.0
ST13-010-PUT-businesses,1,329,329,329,0.00,0.000%,3.03951,2.30,8.44,775.0
ST13-020-GET-maintenance/configuration,1,254,254,254,0.00,0.000%,3.93701,2.19,10.48,570.0
ST13-030-GET-businesses/applications,1,263,263,263,0.00,0.000%,3.80228,5.35,10.26,1442.0
ST14-010-PUT-businesses,1,299,299,299,0.00,0.000%,3.34448,2.55,9.42,781.0
ST14-020-POST-senti-link,1,884,884,884,0.00,0.000%,1.13122,0.74,3.23,671.0
ST14-030-GET-maintenance/configuration,1,251,251,251,0.00,0.000%,3.98406,2.22,10.60,570.0
ST14-040-POST-factor-trust,1,1827,1827,1827,0.00,100.000%,.54735,0.42,1.60,788.0
TOTAL,52,553,6,2066,527.28,1.923%,1.77082,2.64,3.61,1524.0
