timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618201244983,1408,JSR223 Sampler-FunctionUtils,200,OK,Test-ReggisterUser 1-1,text,true,,0,0,1,1,null,0,0,0
1618201246392,21,TEST-01-BUSINESS-FIRST,200,OK,Test-ReggisterUser 1-1,text,true,,0,0,1,1,null,0,0,0
1618201246413,161,PROF-T001-EXC-Random main action,200,OK,Test-ReggisterUser 1-1,text,true,,0,0,1,1,null,0,0,0
1618201246656,2851,AF-010-GET-Welcome,200,OK,Test-ReggisterUser 1-1,text,true,,1757,735,1,1,https://csc-qa-customer-ui.business.creditstrong.com/Welcome,2847,0,1821
1618201249608,933,AF-020-OPTIONS-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,text,true,,1757,667,1,1,https://csc-qa-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,932,0,0
1618201250543,956,AF-020-GET-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,text,true,,1752,836,1,1,https://csc-qa-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,956,0,0
1618201251501,1367,AF-030-OPTIONS-commercial/lead,200,OK,Test-ReggisterUser 1-1,,true,,640,717,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,1367,0,1054
1618201252873,336,AF-030-POST-commercial/lead,200,OK,Test-ReggisterUser 1-1,text,true,,701,1181,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,336,0,0
1618201253268,313,ST01-010-OPTIONS-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,,true,,653,738,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/maintenance/configuration,313,0,0
1618201253583,318,ST01-010-GET-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,text,true,,563,770,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/maintenance/configuration,317,0,0
1618201253902,312,ST02-020-OPTIONS-commercial/lead,200,OK,Test-ReggisterUser 1-1,,true,,653,730,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,312,0,0
1618201254216,334,ST02-020-POST-commercial/lead,200,OK,Test-ReggisterUser 1-1,text,true,,691,864,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,334,0,0
1618201254552,312,ST02-010-OPTIONS-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,,true,,653,738,1,1,https://csc-qa-gateway.business.creditstrong.com/origination/public/maintenance/configuration,312,0,0
1618201254972,4,JSR223 Sampler-FunctionUtils,200,OK,Test-ReggisterUser 1-2,text,true,,0,0,2,2,null,0,0,0
1618201254977,1,TEST-01-BUSINESS-FIRST,200,OK,Test-ReggisterUser 1-2,text,true,,0,0,2,2,null,0,0,0
1618201254979,1,PROF-T001-EXC-Random main action,200,OK,Test-ReggisterUser 1-2,text,true,,0,0,2,2,null,0,0,0
1618201254866,322,ST02-010-GET-maintenance/configuration,200,OK,Test-ReggisterUser 1-1,text,true,,563,770,2,2,https://csc-qa-gateway.business.creditstrong.com/origination/public/maintenance/configuration,322,0,0
1618201255188,313,ST03-020-OPTIONS-commercial/lead,200,OK,Test-ReggisterUser 1-1,,true,,653,730,2,2,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,313,0,0
1618201255502,342,ST03-020-POST-commercial/lead,200,OK,Test-ReggisterUser 1-1,text,true,,700,874,2,2,https://csc-qa-gateway.business.creditstrong.com/origination/public/commercial/lead,342,0,0
1618201254984,1054,AF-010-GET-Welcome,200,OK,Test-ReggisterUser 1-2,text,true,,1757,735,2,2,https://csc-qa-customer-ui.business.creditstrong.com/Welcome,1053,0,127
