timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621913955281,638,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-1,text,true,,0,0,1,1,null,0,0,0
1621913955925,12,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-1,text,true,,0,0,1,1,null,0,0,0
1621913955938,121,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-1,text,true,,0,0,1,1,null,0,0,0
1621913956232,2023,AF-010-GET-Login,200,OK,Test-Login 1-1,text,true,,1758,671,1,1,https://csc-perf-test-customer-ui.business.creditstrong.com/login,2022,0,1050
1621913958283,283,AF-020-GET-maintenance/configuration,200,OK,Test-Login 1-1,text,true,,1757,859,1,1,https://csc-perf-test-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,283,0,0
1621913958568,1087,LG-010-POST-check-lead-with-application,200,OK,Test-Login 1-1,text,true,,556,791,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/public/lead/check-lead-with-application,1086,0,823
1621913959657,474,LG-020-POST-auth/oauth/token,200,OK,Test-Login 1-1,text,true,,4793,997,1,1,https://csc-perf-test-gateway.business.creditstrong.com/auth/oauth/token,473,0,0
1621913961745,313,LG-030-GET-applicants/email,200,OK,Test-Login 1-1,text,true,,2279,2762,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/applicants/email?email=OWVZbTBkRAN8-Fu_TVH-ZMs38nUIrO0VtFwp4isZMFY%3D,312,0,0
1621913963295,257,LG-040-GET-maintenance/configuration,200,OK,Test-Login 1-1,text,true,,570,2735,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/public/maintenance/configuration,256,0,0
1621913963553,268,LG-050-GET-noaa/latest/customerUUID,200,OK,Test-Login 1-1,text,true,,800,2754,1,1,https://csc-perf-test-gateway.business.creditstrong.com/core/documents/noaa/latest/ea38b7f7-9d33-426d-8935-e6a81ed674e3,268,0,0
1621913963821,485,LG-060-GET-dashboard,200,OK,Test-Login 1-1,text,true,,1091,2752,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/customers/ZlyfZ5tf9Z9cJilBb8PP_g==/dashboard,485,0,0
1621913964307,286,LG-070-GET-payments/failed,200,OK,Test-Login 1-1,,true,,514,2798,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/customers/85doAzDni0B84GdDO2nXNIPsGRziBK3dwFSNvy3kwunNL0TJVTfRWE5hqRuGJhJx/payments/failed,286,0,0
1621913964594,306,LG-080-GET-summary?emailEncrypted,200,OK,Test-Login 1-1,text,true,,832,2775,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/summary?emailEncrypted=OWVZbTBkRAN8-Fu_TVH-ZMs38nUIrO0VtFwp4isZMFY=,306,0,0
1621913965665,284,LG-090-GET-customers/customerId,200,OK,Test-Login 1-1,text,true,,1481,2712,1,1,https://csc-perf-test-gateway.business.creditstrong.com/customer/customers/34,284,0,0
1621913965950,276,LG-100-GET-applicants/id,200,OK,Test-Login 1-1,text,true,,1942,2716,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/applicants/34,276,0,0
1621913966227,258,LG-110-GET-applicants/popup/uuid,200,OK,Test-Login 1-1,text,true,,595,2756,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/applicants/popup/b07e44b3-bb95-4d95-8205-06f1e81af479,258,0,0
1621913966487,295,LG-120-GET-missed-payment-time?customerUuid,200,OK,Test-Login 1-1,text,true,,553,2777,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/missed-payment-time?customerUuid=ea38b7f7-9d33-426d-8935-e6a81ed674e3,295,0,0
1621913966784,259,LG-130-GET-customers/popup/customerId,200,OK,Test-Login 1-1,text,true,,666,2718,1,1,https://csc-perf-test-gateway.business.creditstrong.com/customer/customers/popup/34,259,0,0
1621914005280,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-2,text,true,,0,0,1,1,null,0,0,0
1621914005283,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-2,text,true,,0,0,1,1,null,0,0,0
1621914005283,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-2,text,true,,0,0,1,1,null,0,0,0
1621914055271,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621914055272,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621914055272,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621914055275,1145,AF-010-GET-Login,200,OK,Test-Login 1-3,text,true,,1758,671,1,1,https://csc-perf-test-customer-ui.business.creditstrong.com/login,1145,0,224
1621914056423,921,AF-020-GET-maintenance/configuration,200,OK,Test-Login 1-3,text,true,,1757,859,1,1,https://csc-perf-test-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,921,0,0
1621914057347,1061,LG-010-POST-check-lead-with-application,200,OK,Test-Login 1-3,text,true,,556,791,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/public/lead/check-lead-with-application,1061,0,807
1621914058409,463,LG-020-POST-auth/oauth/token,200,OK,Test-Login 1-3,text,true,,4793,997,1,1,https://csc-perf-test-gateway.business.creditstrong.com/auth/oauth/token,463,0,0
1621914059704,300,LG-030-GET-applicants/email,200,OK,Test-Login 1-3,text,true,,2279,2762,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/applicants/email?email=LtTwbwTWxAJzd4BK6ewgFFDDEy_OBFOZ9tQ4vYErwz0%3D,300,0,0
1621914061031,256,LG-040-GET-maintenance/configuration,200,OK,Test-Login 1-3,text,true,,570,2735,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/public/maintenance/configuration,255,0,0
1621914061288,296,LG-050-GET-noaa/latest/customerUUID,200,OK,Test-Login 1-3,text,true,,800,2754,1,1,https://csc-perf-test-gateway.business.creditstrong.com/core/documents/noaa/latest/6bd022a9-7f33-464a-95c5-983d768243e1,295,0,0
1621914061585,366,LG-060-GET-dashboard,200,OK,Test-Login 1-3,text,true,,1091,2752,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/customers/7N09r6-i6kZKoR0wPDqM7A==/dashboard,366,0,0
1621914061953,411,LG-070-GET-payments/failed,200,OK,Test-Login 1-3,,true,,514,2798,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/customers/Gdac0xT9ybwzs_XQY85VvDqz4rg_aJhQdJ0MrfFqDSCvHofvw-vnjPvLt_Z9b-wN/payments/failed,411,0,0
1621914062365,343,LG-080-GET-summary?emailEncrypted,200,OK,Test-Login 1-3,text,true,,832,2775,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/summary?emailEncrypted=LtTwbwTWxAJzd4BK6ewgFFDDEy_OBFOZ9tQ4vYErwz0=,343,0,0
1621914063507,284,LG-090-GET-customers/customerId,200,OK,Test-Login 1-3,text,true,,1481,2712,1,1,https://csc-perf-test-gateway.business.creditstrong.com/customer/customers/35,283,0,0
1621914063792,268,LG-100-GET-applicants/id,200,OK,Test-Login 1-3,text,true,,1942,2716,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/applicants/35,268,0,0
1621914064062,260,LG-110-GET-applicants/popup/uuid,200,OK,Test-Login 1-3,text,true,,595,2756,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/applicants/popup/42efeee3-0459-4d95-b0e2-fb5099612f63,259,0,0
1621914064323,305,LG-120-GET-missed-payment-time?customerUuid,200,OK,Test-Login 1-3,text,true,,553,2777,1,1,https://csc-perf-test-gateway.business.creditstrong.com/account/accounts/missed-payment-time?customerUuid=6bd022a9-7f33-464a-95c5-983d768243e1,305,0,0
1621914064629,259,LG-130-GET-customers/popup/customerId,200,OK,Test-Login 1-3,text,true,,666,2718,1,1,https://csc-perf-test-gateway.business.creditstrong.com/customer/customers/popup/35,258,0,0
1621914105274,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621914105275,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621914105277,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621914155274,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621914155276,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621914155277,0,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621914155279,1073,AF-010-GET-Login,200,OK,Test-Login 1-5,text,true,,1758,671,1,1,https://csc-perf-test-customer-ui.business.creditstrong.com/login,1072,0,232
1621914156355,842,AF-020-GET-maintenance/configuration,200,OK,Test-Login 1-5,text,true,,1757,859,1,1,https://csc-perf-test-customer-ui.business.creditstrong.com/origination/public/maintenance/configuration,841,0,0
1621914157199,1042,LG-010-POST-check-lead-with-application,200,OK,Test-Login 1-5,text,true,,556,791,1,1,https://csc-perf-test-gateway.business.creditstrong.com/origination/public/lead/check-lead-with-application,1041,0,794
