timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621914786064,693,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-1,text,true,,0,0,1,1,null,0,0,0
1621914786759,13,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-1,text,true,,0,0,1,1,null,0,0,0
1621914786777,106,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-1,text,true,,0,0,1,1,null,0,0,0
1621914836054,0,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-2,text,true,,0,0,1,1,null,0,0,0
1621914836054,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-2,text,true,,0,0,1,1,null,0,0,0
1621914836055,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-2,text,true,,0,0,1,1,null,0,0,0
1621914886056,2,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621914886058,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621914886060,0,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621914936050,0,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621914936050,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621914936051,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621914986051,0,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621914986051,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621914986052,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621915036050,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-6,text,true,,0,0,1,1,null,0,0,0
1621915036052,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-6,text,true,,0,0,1,1,null,0,0,0
1621915036054,0,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-6,text,true,,0,0,1,1,null,0,0,0
1621915086052,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-7,text,true,,0,0,1,1,null,0,0,0
1621915086053,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-7,text,true,,0,0,1,1,null,0,0,0
1621915086055,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-7,text,true,,0,0,1,1,null,0,0,0
1621915136048,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-8,text,true,,0,0,1,1,null,0,0,0
1621915136049,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-8,text,true,,0,0,1,1,null,0,0,0
1621915136049,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-8,text,true,,0,0,1,1,null,0,0,0
1621915186047,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-9,text,true,,0,0,1,1,null,0,0,0
1621915186048,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-9,text,true,,0,0,1,1,null,0,0,0
1621915186049,0,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-9,text,true,,0,0,1,1,null,0,0,0
1621915236046,1,JSR223 Sampler-FunctionUtils,200,OK,Test-Login 1-10,text,true,,0,0,1,1,null,0,0,0
1621915236048,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,Test-Login 1-10,text,true,,0,0,1,1,null,0,0,0
1621915236050,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,Test-Login 1-10,text,true,,0,0,1,1,null,0,0,0
