timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621830351414,654,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-1,text,true,,0,0,2,2,null,0,0,0
1621830351914,158,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-2,text,true,,0,0,2,2,null,0,0,0
1621830352073,15,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-1,text,true,,0,0,2,2,null,0,0,0
1621830352073,15,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-2,text,true,,0,0,2,2,null,0,0,0
1621830352088,124,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-2,text,true,,0,0,2,2,null,0,0,0
1621830352088,124,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-1,text,true,,0,0,2,2,null,0,0,0
1621830352415,2,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621830352417,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621830352419,3,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-3,text,true,,0,0,1,1,null,0,0,0
1621830352914,2,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621830352916,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621830352916,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-4,text,true,,0,0,1,1,null,0,0,0
1621830353415,1,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621830353417,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621830353417,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-5,text,true,,0,0,1,1,null,0,0,0
1621830353913,1,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-6,text,true,,0,0,1,1,null,0,0,0
1621830353914,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-6,text,true,,0,0,1,1,null,0,0,0
1621830353915,0,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-6,text,true,,0,0,1,1,null,0,0,0
1621830354418,0,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-7,text,true,,0,0,1,1,null,0,0,0
1621830354418,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-7,text,true,,0,0,1,1,null,0,0,0
1621830354419,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-7,text,true,,0,0,1,1,null,0,0,0
1621830354912,10,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-8,text,true,,0,0,1,1,null,0,0,0
1621830354923,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-8,text,true,,0,0,1,1,null,0,0,0
1621830354923,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-8,text,true,,0,0,1,1,null,0,0,0
1621830355415,1,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-9,text,true,,0,0,1,1,null,0,0,0
1621830355416,1,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-9,text,true,,0,0,1,1,null,0,0,0
1621830355417,1,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-9,text,true,,0,0,1,1,null,0,0,0
1621830355916,1,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-10,text,true,,0,0,1,1,null,0,0,0
1621830355917,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-10,text,true,,0,0,1,1,null,0,0,0
1621830355917,0,JSR223 Sampler - SET-ALL-SWITCH,200,OK,jp@gc - Stepping - Test-Login 1-10,text,true,,0,0,1,1,null,0,0,0
1621830476414,1,JSR223 Sampler-FunctionUtils,200,OK,jp@gc - Stepping - Test-Login 1-11,text,true,,0,0,1,1,null,0,0,0
1621830476415,0,TEST-01-BUSINESS-LOGIN-FLOW,200,OK,jp@gc - Stepping - Test-Login 1-11,text,true,,0,0,1,1,null,0,0,0
